"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"299";1992-04-01;6;"001688530";"50 ans et plus"
"300";1992-01-01;5,9;"001688530";"50 ans et plus"
"301";1991-10-01;5,7;"001688530";"50 ans et plus"
"302";1991-07-01;5,5;"001688530";"50 ans et plus"
"303";1991-04-01;5,3;"001688530";"50 ans et plus"
"304";1991-01-01;5,1;"001688530";"50 ans et plus"
"305";1990-10-01;5;"001688530";"50 ans et plus"
"306";1990-07-01;5;"001688530";"50 ans et plus"
"307";1990-04-01;5;"001688530";"50 ans et plus"
"308";1990-01-01;5;"001688530";"50 ans et plus"
"309";1989-10-01;5,1;"001688530";"50 ans et plus"
"310";1989-07-01;5,2;"001688530";"50 ans et plus"
"311";1989-04-01;5,4;"001688530";"50 ans et plus"
"312";1989-01-01;5,5;"001688530";"50 ans et plus"
"313";1988-10-01;5,5;"001688530";"50 ans et plus"
"314";1988-07-01;5,6;"001688530";"50 ans et plus"
"315";1988-04-01;5,7;"001688530";"50 ans et plus"
"316";1988-01-01;5,8;"001688530";"50 ans et plus"
"317";1987-10-01;5,9;"001688530";"50 ans et plus"
"318";1987-07-01;5,8;"001688530";"50 ans et plus"
"319";1987-04-01;5,8;"001688530";"50 ans et plus"
"320";1987-01-01;5,7;"001688530";"50 ans et plus"
"321";1986-10-01;5,4;"001688530";"50 ans et plus"
"322";1986-07-01;5,4;"001688530";"50 ans et plus"
"323";1986-04-01;5,4;"001688530";"50 ans et plus"
"324";1986-01-01;5,4;"001688530";"50 ans et plus"
"325";1985-10-01;5,4;"001688530";"50 ans et plus"
"326";1985-07-01;5,3;"001688530";"50 ans et plus"
"327";1985-04-01;5,1;"001688530";"50 ans et plus"
"328";1985-01-01;5;"001688530";"50 ans et plus"
"329";1984-10-01;4,9;"001688530";"50 ans et plus"
"330";1984-07-01;4,8;"001688530";"50 ans et plus"
"331";1984-04-01;4,7;"001688530";"50 ans et plus"
"332";1984-01-01;4,6;"001688530";"50 ans et plus"
"333";1983-10-01;4,4;"001688530";"50 ans et plus"
"334";1983-07-01;4,4;"001688530";"50 ans et plus"
"335";1983-04-01;4,4;"001688530";"50 ans et plus"
"336";1983-01-01;4,3;"001688530";"50 ans et plus"
"337";1982-10-01;4,3;"001688530";"50 ans et plus"
"338";1982-07-01;4,3;"001688530";"50 ans et plus"
"339";1982-04-01;4,2;"001688530";"50 ans et plus"
"340";1982-01-01;4,1;"001688530";"50 ans et plus"
"341";1981-10-01;4,1;"001688530";"50 ans et plus"
